service,condition,unit_yen,unit_miles,spend_for_1_lsp,miles_at_1_lsp,lsp_at_minimum,minimum_spend,first_only,campaign_end,warning,detail_url,detail_found,category,status,first_condition_type,first_condition_note,previous_cost,change_note,checked_at
AOKIオンラインショップ,200円ごとに 6 マイル,200,6,3400,102,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,ファッション,same,,,3400,,2026-07-27T22:44:51+00:00
サニーヘルスオンラインショップ,100円ごとに 3 マイル,100,3,3400,102,,,True,2026-08-02,,https://partner.jal.co.jp/jmb/partner/feature/10678,True,美容・コスメ,same,定期初回のみ,「定期購入制度」でのご購入は、初回のみマイル積算の対象です。,3400,,2026-07-27T22:44:51+00:00
サントリーウエルネスオンライン,100円ごとに 3 マイル,100,3,3400,102,,,True,2026-08-02,,https://partner.jal.co.jp/jmb/partner/feature/10678,True,美容・コスメ,same,定期初回のみ,「定期購入制度」でのご購入は、初回のみマイル積算の対象です。,3400,,2026-07-27T22:44:51+00:00
セフィーヌ 公式オンラインショップ,100円ごとに 3 マイル,100,3,3400,102,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,家電・通販,same,,,3400,,2026-07-27T22:44:51+00:00
ソースネクストｅSHOP,100円ごとに 3 マイル,100,3,3400,102,,,False,2026-09-30,,https://partner.jal.co.jp/jmb/partner/feature/10147/,True,PC・ソフト,same,,,3400,,2026-07-27T22:44:51+00:00
ベルーナグルメ,100円ごとに 3 マイル,100,3,3400,102,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,食品・健康,same,,,3400,,2026-07-27T22:44:51+00:00
ポケトーク公式オンラインストア,100円ごとに 3 マイル,100,3,3400,102,,,True,2026-08-02,,https://partner.jal.co.jp/jmb/partner/feature/10678,True,PC・ソフト,same,定期初回のみ,「定期購入制度」でのご購入は、初回のみマイル積算の対象です。,3400,,2026-07-27T22:44:51+00:00
リンベル公式オンラインストア,100円ごとに 3 マイル,100,3,3400,102,,,True,2026-08-02,,https://partner.jal.co.jp/jmb/partner/feature/10678,True,美容・コスメ,same,定期初回のみ,「定期購入制度」でのご購入は、初回のみマイル積算の対象です。,3400,,2026-07-27T22:44:51+00:00
三越伊勢丹オンラインストア,100円ごとに 3 マイル,100,3,3400,102,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,その他,same,,,3400,,2026-07-27T22:44:51+00:00
大丸松坂屋オンラインストア,100円ごとに 3 マイル,100,3,3400,102,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,その他,same,,,3400,,2026-07-27T22:44:51+00:00
日比谷花壇,100円ごとに 3 マイル,100,3,3400,102,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,花・ギフト,same,,,3400,,2026-07-27T22:44:51+00:00
資生堂オンラインストア,200円ごとに 6 マイル,200,6,3400,102,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,その他,same,,,3400,,2026-07-27T22:44:51+00:00
Dyson（ダイソン） 商品の購入および15日以内の入金確認,200円ごとに 5 マイル,200,5,4000,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,その他,same,,,4000,,2026-07-27T22:44:51+00:00
ピザハット公式サイト,400円ごとに 9 マイル,400,9,4800,108,,,True,2026-08-02,,https://partner.jal.co.jp/jmb/partner/feature/10678,True,美容・コスメ,same,定期初回のみ,「定期購入制度」でのご購入は、初回のみマイル積算の対象です。,4800,,2026-07-27T22:44:51+00:00
LANCÔME（ランコム）,100円ごとに 2 マイル,100,2,5000,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,その他,same,,,5000,,2026-07-27T22:44:51+00:00
MoMA Design Store,100円ごとに 2 マイル,100,2,5000,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,その他,same,,,5000,,2026-07-27T22:44:51+00:00
VAIOストア,200円ごとに 4 マイル,200,4,5000,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=2,False,その他,same,,,5000,,2026-07-27T22:44:51+00:00
adidas Online Shop,100円ごとに 2 マイル,100,2,5000,100,,,True,2026-08-02,,https://partner.jal.co.jp/jmb/partner/feature/10678,True,美容・コスメ,same,定期初回のみ,「定期購入制度」でのご購入は、初回のみマイル積算の対象です。,5000,,2026-07-27T22:44:51+00:00
iHerb,100円ごとに 2 マイル,100,2,5000,100,,,False,,,https://partner.jal.co.jp/search_result/?ptn=1&ct=4&mu=4&mu=3&mu=2&mu=b&lcat=201&lcat=202&lcat=203&lcat=204&lcat=205&lcat=206&lcat=207&lcat=208&lcat=209&lcat=210&lcat=211&lcat=212&scat=20101&scat=20201&scat=1002&scat=20203&scat=20204&scat=20205&scat=20206&scat=20207&scat=20208&scat=20209&scat=20210&scat=20204&scat=20302&scat=20303&scat=20305&scat=20306&scat=20307&scat=20401&scat=20402&scat=20403&scat=20404&scat=20405&scat=20501&scat=20502&scat=20503&scat=20504&scat=20505&scat=20506&scat=20507&scat=20508&scat=20509&scat=20510&scat=20511&scat=20512&scat=20513&scat=20514&scat=20515&scat=20516&scat=20517&scat=20518&scat=20601&scat=1201&scat=20511&scat=20512&scat=20801&scat=20206&scat=20803&scat=20804&scat=20805&scat=20806&scat=20807&scat=20516&scat=20809&scat=20810&scat=1906&scat=20902&scat=1702&scat=20510&scat=20514&scat=20515&scat=20503&scat=2003&scat=21003&scat=21004&scat=2005&scat=21006&scat=20507&scat=21008&scat=20518&scat=21101&scat=21102&scat=20510&scat=21201&scat=21202&pn=3,False,その他,same,,,5000,,2026-07-27T22:44:51+00:00
